No,Biaya,Daerah,Satuan,Nilai
1,Penginapan,Aceh,OH,Es 1 : Rp4.420.000 Es 2 : Rp3.526.000  Es 3 / Gol. IV : Rp1.533.000 Gol I - III : Rp770.000
2,Penginapan,Sumatra Utara,OH,Es 1 : Rp4.960.000 Es 2 : Rp2.195.000  Es 3 / Gol. IV : 1.100.000 Gol I - III : Rp699.000
3,Penginapan,Riau,OH,Es 1 : Rp3.820.000 Es 2 : Rp3.119.000  Es 3 / Gol. IV : Rp 1.650.000 Gol I - III : Rp852.000
4,Penginapan,Kepulauan Riau,OH,Es 1 : Rp5.344.000 Es 2 :Rp2.318.000  Es 3 / Gol. IV : Rp1.297.000 Gol I - III : Rp792.000
5,Penginapan,Jambi,OH,Es 1 : Rp5.000.000 Es 2 : Rp4.102.000  Es 3 / Gol. IV : Rp 1.225.000 Gol I - III : Rp580.000
6,Penginapan,Sumatra Barat,OH,Es 1 : Rp5.236.000 Es 2 : Rp3.332.000  Es 3 / Gol. IV : Rp1.353.000 Gol I - III : Rp701.000
7,Penginapan,Sumatra Selatan,OH,Es 1 : Rp5.850.000 Es 2 : Rp3.083.000  Es 3 / Gol. IV : Rp1.955.000 Gol I - III : Rp861.000
8,Penginapan,Lampung,OH,Es 1 : Rp4.491.000 Es 2 : Rp2.488.000  Es 3 / Gol. IV : Rp1.425.000 Gol I - III : Rp580.000
9,Penginapan,Bengkulu,OH,Es 1 : Rp2.140.000 Es 2 : Rp 1.628.000  Es 3 / Gol. IV : Rp 1.546.000 Gol I - III : Rp692.000
10,Penginapan,Bangka Belitung,OH,Es 1 : Rp3.827.000 Es 2 : Rp2.838.000  Es 3 / Gol. IV : Rp1.957.000 Gol I - III : Rp649.000
11,Penginapan,Banten,OH,Es 1 : Rp5.725.000 Es 2 : Rp2.373.000 Es 3 / Gol. IV : Rp 1.204.000 Gol I - IIII : Rp724.000
12,Penginapan,Jawa Barat,OH,Es 1 : Rp5.381.000 Es 2 : Rp2.755.000  Es 3 / Gol. IV : Rp 1.201.000 Gol I - IIII : Rp686.000
13,Penginapan,D.K.I. Jakarta,OH,Es 1 : Rp8.720.000 Es 2 : Rp2.063.000 Es 3 / Gol. IV : Rp992.000 Gol I - IIII : Rp730.000
